No;Provinsi;Kab/Kota;Kecamatan;Kelurahan;;;
159;BANTEN;KOTA TANGERANG;KARAWACI;BOJONGJAYA;;;
160;BANTEN;KOTA TANGERANG;KARAWACI;BUGEL;;;
161;BANTEN;KOTA TANGERANG;KARAWACI;CIMONE;;;
162;BANTEN;KOTA TANGERANG;KARAWACI;CIMONE JAYA;;;
163;BANTEN;KOTA TANGERANG;KARAWACI;GERENDENG;;;
164;BANTEN;KOTA TANGERANG;KARAWACI;KARAWACI;;;
165;BANTEN;KOTA TANGERANG;KARAWACI;KARAWACI BARU;;;
166;BANTEN;KOTA TANGERANG;KARAWACI;KOANGJAYA;;;
167;BANTEN;KOTA TANGERANG;KARAWACI;MARGASARI;;;
168;BANTEN;KOTA TANGERANG;KARAWACI;NAMBOJAYA;;;
169;BANTEN;KOTA TANGERANG;KARAWACI;NUSAJAYA;;;
170;BANTEN;KOTA TANGERANG;KARAWACI;PABUARAN;;;
171;BANTEN;KOTA TANGERANG;KARAWACI;PABUARAN TUMPENG;;;
172;BANTEN;KOTA TANGERANG;KARAWACI;PASARBARU;;;
173;BANTEN;KOTA TANGERANG;KARAWACI;SUKAJADI;;;
174;BANTEN;KOTA TANGERANG;KARAWACI;SUMUR PACING;;;
175;BANTEN;KOTA TANGERANG;LARANGAN;CIPADU;;;
176;BANTEN;KOTA TANGERANG;LARANGAN;CIPADU JAYA;;;
177;BANTEN;KOTA TANGERANG;LARANGAN;GAGA;;;
178;BANTEN;KOTA TANGERANG;LARANGAN;KEREO;;;
179;BANTEN;KOTA TANGERANG;LARANGAN;KEREO SELATAN;;;
180;BANTEN;KOTA TANGERANG;LARANGAN;LARANGAN INDAH;;;
181;BANTEN;KOTA TANGERANG;LARANGAN;LARANGAN SELATAN;;;
182;BANTEN;KOTA TANGERANG;LARANGAN;LARANGAN UTARA;;;
183;BANTEN;KOTA TANGERANG;NEGLASARI;KARANG ANYAR;;;
184;BANTEN;KOTA TANGERANG;NEGLASARI;KARANG SARI;;;
185;BANTEN;KOTA TANGERANG;NEGLASARI;KEDAUNG BARU;;;
186;BANTEN;KOTA TANGERANG;NEGLASARI;KEDAUNG WETAN;;;
187;BANTEN;KOTA TANGERANG;NEGLASARI;MEKARSARI;;;
188;BANTEN;KOTA TANGERANG;NEGLASARI;NEGLASARI;;;
189;BANTEN;KOTA TANGERANG;NEGLASARI;SELAPAJANG JAYA;;;
190;BANTEN;KOTA TANGERANG;PERIUK;GEBANG RAYA;;;
191;BANTEN;KOTA TANGERANG;PERIUK;GEMBOR;;;
192;BANTEN;KOTA TANGERANG;PERIUK;PERIUK;;;
193;BANTEN;KOTA TANGERANG;PERIUK;PERIUK JAYA;;;
194;BANTEN;KOTA TANGERANG;PERIUK;SANGIANG JAYA;;;
